model,error_type,step_name,n,baseline_mean,mean_score,failure_rate,failure_rate_ci_lo,failure_rate_ci_hi
claude-3-haiku,factual,search,900,0.6158888888888889,0.5246841065280458,0.1480864227399582,0.12469434492702047,0.17202844468988
claude-3-haiku,factual,filter,780,0.6158888888888889,0.5277914673531555,0.14304109576431545,0.11557898546472578,0.16910882947686356
claude-3-haiku,factual,summarize,540,0.6158888888888889,0.5811260270955966,0.056443398185031746,0.022953103876699466,0.08959271019356918
claude-3-haiku,factual,compose,540,0.6158888888888889,0.26518744620286006,0.5694232336594371,0.5414429393241063,0.5972790697801351
claude-3-haiku,omission,search,900,0.6116666666666666,0.5316461302969518,0.13082376518209493,0.10726246902551606,0.15500535865527054
claude-3-haiku,omission,filter,756,0.6116666666666666,0.49761046416912147,0.18646790599053698,0.16285567853096294,0.21006131074037682
claude-3-haiku,omission,summarize,513,0.6116666666666666,0.5052287988850709,0.17401286285819462,0.1446648703832173,0.20354653381372823
claude-3-haiku,omission,compose,230,0.6116666666666666,0.46832094453794043,0.23435267922952507,0.19409670413872815,0.2733816016747239
claude-3-haiku,semantic,search,675,0.6014814814814814,0.577307105932837,0.04019138791954435,0.006574529284488095,0.07087580917915348
claude-3-haiku,semantic,filter,585,0.6014814814814814,0.5833008964444862,0.030226342118157,0.0,0.06450298460539061
claude-3-haiku,semantic,summarize,405,0.6014814814814814,0.5389359678326999,0.10398576776583124,0.06396306113877082,0.14484455725863998
claude-3-haiku,semantic,compose,405,0.6014814814814814,0.48021305114638446,0.20161623269997642,0.16951445578231272,0.23299349049964801
